stock_locate,tracking_number,timestamp,order_reference_number,executed_shares,match_number,printable,execution_price
2524,2,0 days 09:30:00.467246972,5400242,100,109197,0,88800
2524,3,0 days 09:30:00.467246972,5413074,900,109198,0,88800
2524,4,0 days 09:30:00.467246972,5416126,1275,109199,0,88800
7813,1,0 days 09:30:00.468017822,9375664,237,109273,0,42000
952,1,0 days 09:30:00.470137086,7644553,203,109768,0,837600
4880,1,0 days 09:30:00.472244843,7503851,46,109883,0,2925100
4880,2,0 days 09:30:00.472244843,6207039,99,109884,0,2925100
1691,1,0 days 09:30:00.473183460,5665941,1,109960,0,2620
1691,2,0 days 09:30:00.473183460,5798277,125,109961,0,2620
1691,3,0 days 09:30:00.473183460,5987217,200,109962,0,2620
1691,4,0 days 09:30:00.473183460,5665945,741,109963,0,2620
1691,5,0 days 09:30:00.473183460,5665949,8,109964,0,2620
1691,6,0 days 09:30:00.473183460,5665953,29,109965,0,2620
1691,7,0 days 09:30:00.473183460,5778449,250,109966,0,2620
1691,8,0 days 09:30:00.473183460,5665957,1,109967,0,2620
1691,9,0 days 09:30:00.473183460,6921617,1646,109968,0,2620
1691,10,0 days 09:30:00.473183460,5982905,7700,109969,0,2620
1286,1,0 days 09:30:00.473507644,7788861,81,109999,0,505200
3451,1,0 days 09:30:00.474264310,5672562,394,110053,0,62900
7558,1,0 days 09:30:00.474898138,9896012,27,110102,0,266100
2923,2,0 days 09:30:00.476320860,4799278,50,110188,0,132400
2923,3,0 days 09:30:00.476320860,4764794,100,110189,0,132400
5291,2,0 days 09:30:00.483018795,7704539,6,110421,1,1589900
3761,2,0 days 09:30:00.486634369,5671966,100,110549,0,62400
4509,1,0 days 09:30:00.489212197,5663786,1397,110622,0,8020
4509,2,0 days 09:30:00.489212197,5663994,755,110623,0,8020
4509,4,0 days 09:30:00.489212197,3901598,100,110625,0,8020
4509,6,0 days 09:30:00.489212197,3569054,500,110627,0,8020
3621,1,0 days 09:30:00.491114704,5671398,17,110697,0,169700
3621,3,0 days 09:30:00.491114704,3169022,138,110699,0,169700
4552,1,0 days 09:30:00.493437568,5675578,26,110773,0,540200
1029,1,0 days 09:30:00.496762470,2777297,100,110892,0,90800
2289,1,0 days 09:30:00.497292234,2531998,52,110935,0,566600
5332,2,0 days 09:30:00.499240596,7714567,200,111042,1,537700
5332,2,0 days 09:30:00.499252247,7714567,139,111044,1,537700
1709,1,0 days 09:30:00.500796001,7854977,2555,111151,0,68600
6564,2,0 days 09:30:00.502962193,7506735,67,111242,0,1168200
6564,3,0 days 09:30:00.502962193,7648811,20,111243,0,1168200
547,2,0 days 09:30:00.504157915,7943029,100,111307,0,2964200
547,3,0 days 09:30:00.504157915,6903741,296,111308,0,2964200
7490,2,0 days 09:30:00.506236939,7581000,1000,111405,0,3400
7490,3,0 days 09:30:00.506236939,7625484,4617,111406,0,3400
7490,4,0 days 09:30:00.506236939,7509144,10000,111407,0,3400
7490,5,0 days 09:30:00.506236939,7509148,4135,111408,0,3400
867,3,0 days 09:30:00.506721542,7942185,101,111421,0,182000
867,6,0 days 09:30:00.506721542,6928741,2053,111424,0,182000
57,1,0 days 09:30:00.507144284,7853337,988,111435,0,60900
1299,1,0 days 09:30:00.507485217,7852349,59,111467,0,171200
4842,2,0 days 09:30:00.507984657,7506171,159,111499,0,542000
3026,1,0 days 09:30:00.508466106,5672502,54,111511,0,297800
7529,1,0 days 09:30:00.508643534,7509616,140,111519,0,8702
8852,2,0 days 09:30:00.508962039,9898264,129,111540,0,2560000
1617,1,0 days 09:30:00.510509508,7852741,194,111613,0,209700
5440,2,0 days 09:30:00.511462189,7506103,3,111659,0,1081200
479,1,0 days 09:30:00.511940021,5628777,15,111673,0,187200
6078,1,0 days 09:30:00.514520537,5993955,867,111818,0,31800
628,1,0 days 09:30:00.515671623,7851793,103,111834,0,83200
1181,1,0 days 09:30:00.516235210,7851805,41,111879,0,59500
5665,1,0 days 09:30:00.516241687,7504355,582,111881,0,154000
5025,1,0 days 09:30:00.517221721,7505015,1030,111918,0,99500
5901,1,0 days 09:30:00.517464636,6020975,1625,111925,0,52200
4254,1,0 days 09:30:00.518187674,5676810,20,111946,0,263600
5514,1,0 days 09:30:00.518465256,6071835,8,111971,0,184800
5514,2,0 days 09:30:00.518465256,6133647,3,111972,0,184800
8188,1,0 days 09:30:00.521423484,9898012,1023,112090,0,277600
1559,1,0 days 09:30:00.521707716,5660813,70,112097,0,3700
4695,1,0 days 09:30:00.522945487,5511030,1016,112151,0,104200
304,1,0 days 09:30:00.523867123,7854201,368,112181,0,262900
3644,1,0 days 09:30:00.524377413,3661302,16,112199,0,86800
2764,2,0 days 09:30:00.524632584,5818766,1000,112212,1,14400
5686,2,0 days 09:30:00.525334593,7617751,20,112231,1,335800
970,1,0 days 09:30:00.527488597,4182601,100,112302,0,330000
6941,1,0 days 09:30:00.529824705,7506307,425,112377,0,732500
5469,1,0 days 09:30:00.532427339,7502851,282,112471,0,67700
7608,1,0 days 09:30:00.536463006,9897468,230,112605,0,440000
2037,1,0 days 09:30:00.538310544,7851665,5,112689,0,2911800
2249,1,0 days 09:30:00.539258926,7853053,93,112717,0,1081100
3508,1,0 days 09:30:00.540368673,3711270,13,112747,0,23300
1323,1,0 days 09:30:00.541181585,7852813,1231,112764,0,74500
4838,1,0 days 09:30:00.541726474,7502491,36,112800,0,114700
2764,2,0 days 09:30:00.541752259,5818766,2800,112803,1,14400
7359,1,0 days 09:30:00.542433178,9897576,365,112829,0,150800
8162,2,0 days 09:30:00.544295124,9941540,100,112898,1,583100
589,1,0 days 09:30:00.544347491,6263245,22,112899,0,16500
5999,2,0 days 09:30:00.544555130,7503923,165,112906,0,100000
5999,3,0 days 09:30:00.544555130,3692419,1189,112907,0,100000
8872,1,0 days 09:30:00.544892607,9896568,1344,112913,0,51400
5421,1,0 days 09:30:00.545377965,6043591,69,112938,0,13400
5421,2,0 days 09:30:00.545377965,4962295,100,112939,0,13400
3737,2,0 days 09:30:00.546300305,3663306,4,112976,0,24800
1730,2,0 days 09:30:00.547470718,8124037,37,113013,1,477200
4137,1,0 days 09:30:00.548470657,5411690,20,113063,0,10700
7107,1,0 days 09:30:00.549312199,5055547,6,113096,0,9900
7107,2,0 days 09:30:00.549312199,6096899,151,113097,0,9900
8587,1,0 days 09:30:00.550080548,9954104,200,113129,0,524500
5411,2,0 days 09:30:00.550437829,2890191,273,113138,0,18300
5411,3,0 days 09:30:00.550437829,5090359,25,113139,0,18300
7339,1,0 days 09:30:00.551126400,7502936,2,113158,0,66000
1488,1,0 days 09:30:00.551220313,6170281,100,113175,0,7693
4721,1,0 days 09:30:00.551520476,7506179,12,113181,0,1253200
1079,1,0 days 09:30:00.553518443,7802569,697,113256,0,251300
7699,2,0 days 09:30:00.554225601,9174260,3,113290,0,47400
2211,1,0 days 09:30:00.554582222,7902721,5,113305,0,234700
1240,1,0 days 09:30:00.554680880,7854641,27,113310,0,684900
8423,1,0 days 09:30:00.555532613,9697972,300,113336,0,195300
8423,2,0 days 09:30:00.555532613,9700420,400,113337,0,195300
8423,3,0 days 09:30:00.555532613,9714488,500,113338,0,195300
8423,4,0 days 09:30:00.555532613,9714524,500,113339,0,195300
8423,5,0 days 09:30:00.555532613,9749272,700,113340,0,195300
8423,6,0 days 09:30:00.555532613,9749724,200,113341,0,195300
8423,7,0 days 09:30:00.555532613,9856916,800,113342,0,195300
8423,9,0 days 09:30:00.555532613,8755352,100,113344,0,195300
8423,10,0 days 09:30:00.555532613,8755392,281,113345,0,195300
25,4,0 days 09:30:00.556974525,2779673,146,113410,0,33900
6882,1,0 days 09:30:00.558715792,7296207,100,113480,0,81800
1690,2,0 days 09:30:00.559259470,7855005,397,113511,0,468900
874,1,0 days 09:30:00.560104150,5743609,1,113546,0,37100
8045,1,0 days 09:30:00.565033188,9897540,179,113694,0,236200
2566,1,0 days 09:30:00.565438517,5671546,60,113713,0,270000
8363,1,0 days 09:30:00.565548589,9896024,45,113727,0,270800
8612,1,0 days 09:30:00.568270039,9898028,86,113787,0,1212100
344,1,0 days 09:30:00.568279236,6949249,14,113791,0,461400
4769,1,0 days 09:30:00.568613546,7502535,10,113797,0,155200
3501,1,0 days 09:30:00.570385067,5636726,100,113845,0,6030
3501,2,0 days 09:30:00.570385067,3923818,1295,113846,0,6030
3501,3,0 days 09:30:00.570385067,5664042,61,113847,0,6030
3501,4,0 days 09:30:00.570385067,5664078,61,113848,0,6030
3501,5,0 days 09:30:00.570385067,5664274,61,113849,0,6030
3501,6,0 days 09:30:00.570385067,5664430,2170,113850,0,6030
5814,1,0 days 09:30:00.572143254,7691479,3300,113888,0,23000
5814,2,0 days 09:30:00.572143254,7691887,800,113889,0,23000
4131,1,0 days 09:30:00.573299348,3630634,5,113919,0,92500
2763,1,0 days 09:30:00.573963904,5650290,1,113946,0,231200
2692,1,0 days 09:30:00.574290914,5673930,45,113951,0,1082000
4264,1,0 days 09:30:00.574954272,5672374,19,113976,0,5980000
559,1,0 days 09:30:00.575359743,7851701,19,113986,0,81500
1799,1,0 days 09:30:00.576710371,7679549,700,114035,0,9800
6280,1,0 days 09:30:00.577037456,7503015,712,114044,0,66000
7684,3,0 days 09:30:00.577703251,7511872,1,114067,0,81000
7684,4,0 days 09:30:00.577703251,8175928,3,114068,0,81000
1926,1,0 days 09:30:00.578737939,7541145,240,114117,0,176500
932,1,0 days 09:30:00.580211987,7855469,67,114170,0,883900
6,1,0 days 09:30:00.582059802,7885185,20,114211,0,285000
6,2,0 days 09:30:00.582059802,5837829,2406,114212,0,285000
5949,1,0 days 09:30:00.582533724,5112431,3,114230,0,81100
5949,2,0 days 09:30:00.582533724,5112435,6,114231,0,81100
5949,3,0 days 09:30:00.582533724,5112439,554,114232,0,81100
5949,4,0 days 09:30:00.582533724,5112443,1,114233,0,81100
5949,5,0 days 09:30:00.582533724,5156959,3,114234,0,81100
56,1,0 days 09:30:00.584268009,7854461,141,114295,0,330800
7294,1,0 days 09:30:00.584823273,9897388,242,114311,0,285300
3328,2,0 days 09:30:00.586675175,5411702,3121,114357,0,2190
3080,1,0 days 09:30:00.588765998,5622318,740,114409,0,148800
7526,1,0 days 09:30:00.593149175,9896924,415,114577,0,205300
5994,1,0 days 09:30:00.593614024,5268203,499,114595,0,11700
5994,2,0 days 09:30:00.593614024,6114839,9,114596,0,11700
1252,1,0 days 09:30:00.594298835,7764777,21,114624,0,6750
2834,2,0 days 09:30:00.596901232,5922766,100,114693,1,214100
186,2,0 days 09:30:00.597092422,8146577,100,114698,1,179300
8572,1,0 days 09:30:00.598029754,7760464,10,114726,0,265200
2809,1,0 days 09:30:00.598716312,5672354,38,114770,0,568000
1096,1,0 days 09:30:00.600279387,4356777,3,114840,0,103400
3113,1,0 days 09:30:00.601586929,5672986,8,114877,0,947400
7944,1,0 days 09:30:00.602336835,9898176,122,114903,0,303600
2707,3,0 days 09:30:00.604017282,5616606,100,114978,0,15500
2707,5,0 days 09:30:00.604017282,3723878,30,114980,0,15500
36,1,0 days 09:30:00.604560247,7852373,12,115000,0,373800
4924,1,0 days 09:30:00.606076612,7645723,267,115056,0,130700
8118,1,0 days 09:30:00.606973261,9861400,800,115111,0,262400
8118,2,0 days 09:30:00.606973261,9861404,800,115112,0,262400
8118,3,0 days 09:30:00.606973261,9854680,800,115113,0,262400
8118,4,0 days 09:30:00.606973261,9854684,800,115114,0,262400
8118,5,0 days 09:30:00.606973261,9853840,587,115115,0,262400
104,1,0 days 09:30:00.607735535,7808785,200,115151,0,225200
8488,1,0 days 09:30:00.608762606,7544504,125,115185,0,14900
7330,1,0 days 09:30:00.609418302,5474324,25,115204,0,3590
7330,2,0 days 09:30:00.609418302,8505304,3041,115205,0,3590
3754,1,0 days 09:30:00.609854543,5672138,117,115232,0,77000
3140,1,0 days 09:30:00.610393994,3705970,96,115244,0,7600
3140,3,0 days 09:30:00.610393994,3298478,26,115246,0,7600
3140,4,0 days 09:30:00.610393994,3553490,626,115247,0,7600
6205,2,0 days 09:30:00.611608723,5117687,1,115288,0,33000
2104,1,0 days 09:30:00.611735166,7853493,4,115294,0,753100
3477,2,0 days 09:30:00.614514312,5672774,474,115407,0,153800
8321,1,0 days 09:30:00.614671411,9929548,4000,115411,0,25400
4704,1,0 days 09:30:00.616769212,5671058,43,115469,0,128800
